// menu buttons

118 沿着粉色区域标记的轨迹移动！\n\n在你完成之后我们会继续下一课。开始吧！

119 漂亮！
120 你是我见过的表现最优秀的新手！\n\n现在做好准备，迎接更困难的挑战。

121 射击……
122 为了打败敌人，你必须了解怎样向他们射击！\n你需要做的只是按下<{PLAYER1_KEY_FIRE}>。\n试着随便向四周开火。着陆之后我们将进行下一节的教学。

124 漂亮的着陆，{PLAYER1_NAME}！
125 你绝对有成为一个优秀飞行员的潜质。\n\n现在试试其他武器怎么样？

126 各种武器……
127 我知道，为这一刻你已经等了很久。停泊在星球上的时候，你可以切换到其他更具有威力的武器。按下<{PLAYER1_KEY_FIRE}>可以打开你的武器库。\n然后用<{PLAYER1_KEY_LEFT}>和<{PLAYER1_KEY_RIGHT}>选择武器！\n当你准备好了之后，起飞！

130 战斗！
131 现在我们来看一看你和其他星球的新手间的对战会是什么样子。\n不过似乎对手的飞行技术还有待加强。\n\n战斗开始！

132 太完美了！
133 你成功地打败了敌人！也许你已经注意到了，有一颗小星星出现在了飞船的上方。你打败的敌人越多，相应地，出现的星星也就越多。但是它们并不是对杀敌数目的统计！\n再次着陆，我们会告诉你这些星星到底是做什么的。

208 特殊能力……
209 我们保证过会告诉你星星的涵义——事实上，它们是你的飞船的额外能力之源。比如你可以为你自己及附近的队友提供治疗，吹走或是冻结附近一段距离之间的飞船！\n你所拥有的星星越多，你的特殊能力的有效范围及强度就越大。

210 选择特殊能力……
211 选择特殊能力只需要按下<{PLAYER1_KEY_SPECIAL}>，然后用<{PLAYER1_KEY_LEFT}>和<{PLAYER1_KEY_RIGHT}>选择你所偏爱的能力。 \n在这一课中，我们用“Freezer”来做示范。准备好了就起飞吧。

245 停，{PLAYER1_NAME}!
246 我们告诉过你要选择“Freezer”，但是你并没有这样做！\n请再次降落，并把特殊能力切换过去。

247 Freezer……
248 这是一种能冻结附近飞船的特殊能力。\n你需要飞到目标飞船附近，然后按下<{PLAYER1_KEY_SPECIAL}>来冻住他们。看着对手的生命值慢慢下降直到变为零吧。

249 练习！
250 现在试着冻住你的敌人！\n在这个教程中我们会给你一些星星。但是请记住：在实际中只有击毁敌人的飞船才能得到星星！

251 被它逃掉了，{PLAYER1_NAME}!
252 再试一次吧。我们会再给你一些星星的。

253 你做到了！
254 现在回到你的星球，选择其他的特殊能力吧！

255 小心，{PLAYER1_NAME}!
256 没有时间进行更多的教学了！\n我们的敌人送来了两个真正的复仇武士！

134 打败他们！
135 检验你操控飞船的技术！通过击败他们得到至少五分！在分数版里，你个人的当前得分就在你的名字旁边！\n我们会派一个久经沙场的战士协助你，{PLAYER1_NAME}!

136 难以置信！
137 你成功地完成了所有任务。接下来做什么呢？\n\n我们来看一下选项菜单。在那里你可以调节很多的……呃，选项。\n比如，你可以选择你喜欢的飞船外形及颜色，或是改变你的名字……

138 谁是最优秀的战士？
139 你可以通过按 <{STATISTICS_KEY}> 来查看数据统计。\n此外，在你名字旁边的数字显示了到目前为止你总共击毁的敌机数，以及与第一名之间的差距。

140 祝贺，{PLAYER1_NAME}！
141 你已经完成了教程。现在的你已经可以参加星际大战了。如果想继续练习，只需要在这里等待——敌人会源源不断地出现。按<Esc>结束练习。\n\n祝你在M.A.R.S.的世界里玩得愉快！

142 你失败了！
143 算你厉害，{PLAYER1_NAME}！你毁掉了自己全新的飞船！好吧，几秒之后，我们还会给你一艘新的……

144 你注意到了吗？
145 你的生命值正在下降！注意观察上方的生命条。如果它快空了，最好马上降落。

146 你注意到了吗？
147 你的燃料储备正在下降！注意观察黄色的燃料条。如果它快空了，最好马上降落母星。

148 胜利近在眼前！
149 注意敌人的名字。它的颜色越红，敌人的生命值也就越低。

// tabmenu collumns

154 得分
155 击毁敌机
244 加农炮射击次数
267 撞击次数
156 误伤队友
157 自杀
158 死亡
160 合计：
161 数据统计

// Tool tips options menu

176 显示每秒帧数。\n如果这个数字总是低于20，你应该马上在选项中调整显示设置！
177 显示当前活跃的粒子数目。
178 屏蔽掉所有的工具提示，比如您现在看到的这个。
179 设置截图的保存格式。
180 当这个键被按下的时候，截屏就会被保存到{CONFIG_PATH}screenshots/ 。
181 按下这个键可以切换到下一条音轨。
263 按下此键播放上一曲。
264 允许随机回放。
182 当有很多飞船同时爆炸时，慢动作效果会生效。
183 显示每个AI的任务。
184 显示对AI来说非常重要的战术区域。
185 显示AI的运动路径。
186 最大化窗口，使之覆盖整个屏幕。
187 让游戏依照显示器的刷新频率来更新画面。\n一般来说，选择此选项可以让画面更加流畅。
188 开启一些特殊效果，比如热雾；但是这会加重计算机的计算负担。
189 设置窗口大小。\n这会影响到全屏和窗口化两种模式。
190 这个选项会使星图的计算被延后。\n取消此选项可能会轻微地提高游戏速度。
266 在背景上绘制动态的星图。效果很好，但是会降低运行速度。
191 调整全局粒子数目。\n选择更低的值会明显提高运行速度。
192 调整全局粒子生存周期。\n更低的值会让运行速度明显提高。
193 调整背景音乐的音量。
194 调整声音效果的音量。
195 调整旁白的音量。
243 当在游戏进行中按下这个键时，一个显示着统计数据的窗口就会弹出。

// Tool tips in the start-a-new-game-window

196 设定本地玩家所属的队伍。
197 开启本地玩家。
198 调整AI所控制的飞船数。
199 团队赢得比赛所需得到的分数。
200 个人赢得比赛所需得到的分数。
201 调整AI的强度。
202 调整游戏中道具出现的速率。\n如果设置为零则会完全取消道具的出现。

// Interface notifications

205 截屏已保存！
214 下一音轨！
260 上一曲！
258 艺术家： 
259 专辑： 

// 268
